project,week,utilization_%
Dammam Port Rd,23,95.72162465885376
Dammam Port Rd,24,97.50647735516634
Dammam Port Rd,25,95.76316521515845
Dammam Port Rd,26,95.9606937463207
Dammam Port Rd,27,91.64820140493141
Dammam Port Rd,28,91.45606190021604
Dammam Port Rd,29,93.47181008902076
Dammam Port Rd,30,95.10642707007312
Dammam Port Rd,31,95.79498977505112
Dammam Port Rd,32,90.55693147901187
Dammam Port Rd,33,87.77303817018459
Dammam Port Rd,34,93.78190255220417
Dammam Port Rd,35,96.33308675895593
Jeddah Corniche,23,92.21535393818544
Jeddah Corniche,24,97.26404542717027
Jeddah Corniche,25,96.47063585218764
Jeddah Corniche,26,91.10304130730822
Jeddah Corniche,27,94.99773373439368
Jeddah Corniche,28,96.57268546290743
Jeddah Corniche,29,92.95860235472844
Jeddah Corniche,30,93.17414573898725
Jeddah Corniche,31,89.16924133196018
Jeddah Corniche,32,90.27744463100665
Jeddah Corniche,33,94.27351804123711
Jeddah Corniche,34,92.11032450791832
Jeddah Corniche,35,95.98886319664008
Makkah Housing,23,90.45580749652939
Makkah Housing,24,99.2831541218638
Makkah Housing,25,87.61966927763272
Makkah Housing,26,96.60304476255396
Makkah Housing,27,96.83690280065899
Makkah Housing,28,92.94846184578506
Makkah Housing,29,97.17898832684824
Makkah Housing,30,80.06793885503048
Makkah Housing,31,83.39889850511409
Makkah Housing,32,86.11451942740285
Makkah Housing,33,91.51600958396862
Makkah Housing,34,85.72758299720758
Makkah Housing,35,73.78775284012191
NEOM Site A,23,99.43256630509751
NEOM Site A,24,98.65497627353007
NEOM Site A,25,98.37993289662886
NEOM Site A,26,97.61715141282534
NEOM Site A,27,95.88637361259171
NEOM Site A,28,96.97534634052263
NEOM Site A,29,97.9372596383053
NEOM Site A,30,97.95044833942575
NEOM Site A,31,98.36553224155577
NEOM Site A,32,97.38421435499515
NEOM Site A,33,95.97633502663858
NEOM Site A,34,97.53960010386913
NEOM Site A,35,95.9549797937833
Riyadh Metro Ext.,23,98.00751451667995
Riyadh Metro Ext.,24,100.0
Riyadh Metro Ext.,25,97.31816186155423
Riyadh Metro Ext.,26,96.749305250841
Riyadh Metro Ext.,27,94.63533983377108
Riyadh Metro Ext.,28,96.40716247051088
Riyadh Metro Ext.,29,98.42010634635247
Riyadh Metro Ext.,30,96.18853974121996
Riyadh Metro Ext.,31,99.60840424730777
Riyadh Metro Ext.,32,97.44827586206898
Riyadh Metro Ext.,33,95.94638300930751
Riyadh Metro Ext.,34,99.11550662437023
Riyadh Metro Ext.,35,98.66464995678479
